@relation singe_mother_family_test_predicted

@attribute ﻿random_ID numeric
@attribute NZDep2006 numeric
@attribute ch_asian numeric
@attribute ch_euro numeric
@attribute ch_maori numeric
@attribute ch_melaa numeric
@attribute ch_other numeric
@attribute ch_pacific numeric
@attribute m_age numeric
@attribute m_asian numeric
@attribute m_euro numeric
@attribute m_maori numeric
@attribute m_melaa numeric
@attribute m_other numeric
@attribute m_pacific numeric
@attribute m_wklfs_code numeric
@attribute bedroom_count_code numeric
@attribute m_years_at_addr_code numeric
@attribute m_tenure_holder_code numeric
@attribute m_education numeric
@attribute m_work_hours numeric
@attribute m_smoke numeric
@attribute m_income_srce7 numeric
@attribute m_income_srce8 numeric
@attribute m_income_srce9 numeric
@attribute m_income_srce10 numeric
@attribute m_income_srce11 numeric
@attribute m_income_srce12 numeric
@attribute ch_sex numeric
@attribute child_depend_family_type_code numeric
@attribute heat_fuel numeric
@attribute m_family_role_code numeric
@attribute telecomm1_code numeric
@attribute telecomm2_code numeric
@attribute telecomm4_code numeric
@attribute usual_resdnt_count_code numeric
@attribute twin numeric
@attribute singparstat numeric
@attribute 'prediction margin' numeric
@attribute 'predicted total_income_hhld_code' {1,2,3,4,5,6,7,8,9,10,11,12,13,14}
@attribute total_income_hhld_code {1,2,3,4,5,6,7,8,9,10,11,12,13,14}

@data
4167,7,0,0,1,0,0,0,19,0,0,1,0,0,0,4,3,1,2,1,0,1,0,0,0,0,0,0,2,31,1,1,99,99,99,2,1,2,-0.18,4,?
4170,7,0,1,0,0,0,0,31,0,1,0,0,0,0,4,3,0,2,0,0,1,0,0,0,0,0,0,1,31,1,1,1,2,4,2,1,2,-0.3,6,?
4176,10,0,1,1,0,0,0,35,0,?,1,?,0,0,4,?,?,2,?,0,1,0,0,0,0,0,0,2,31,?,1,99,99,99,3,1,2,-0.227014,5,?
4178,3,0,1,0,0,0,1,17,0,1,0,0,0,0,4,4,17,2,2,0,3,0,0,0,0,0,1,1,31,1,1,1,2,4,4,1,2,-0.37,14,?
4182,8,0,1,0,0,0,0,25,0,1,0,0,0,0,4,3,0,2,?,0,2,0,0,1,0,0,0,2,31,1,1,1,2,4,6,1,2,-0.266257,14,?
4184,5,0,0,0,0,0,1,33,0,0,0,0,0,1,3,3,0,2,1,0,1,0,0,0,0,0,1,2,31,1,1,1,2,4,7,1,2,-0.35,14,?
4208,9,0,0,0,0,0,1,27,?,0,?,0,0,1,?,3,1,2,?,0,3,0,0,0,0,0,0,1,31,1,1,99,99,99,5,1,2,-0.14945,6,?
4215,6,0,1,1,0,0,0,19,0,1,0,0,0,0,4,5,0,2,1,0,1,0,0,1,0,0,1,1,31,1,1,1,2,4,5,1,2,-0.3,13,?
4221,7,0,1,1,0,0,0,19,0,1,1,0,0,0,4,2,0,2,2,0,1,0,0,0,0,0,0,1,31,?,1,1,99,99,4,1,2,-0.2525,7,?
4223,9,0,0,1,0,0,0,28,0,0,1,0,0,0,3,3,8,2,0,0,1,1,0,1,0,0,0,1,31,1,1,1,99,99,5,1,2,-0.26,13,?
4225,8,0,1,1,0,0,0,29,0,1,1,0,0,0,4,3,0,2,0,0,3,0,0,0,0,0,0,1,31,0,1,1,99,99,3,1,2,-0.33,7,?
4235,9,0,1,1,0,0,1,23,0,1,0,0,0,0,4,3,10,2,0,0,3,0,0,0,0,0,0,2,31,1,1,1,2,4,5,1,2,-0.19,14,?
4256,5,0,1,0,0,0,0,22,0,1,0,0,0,0,4,2,0,2,7,0,1,0,0,0,0,0,0,1,31,1,1,1,99,99,2,1,2,-0.31,6,?
4258,6,0,0,0,0,0,0,34,?,?,1,0,0,?,4,4,?,2,?,0,2,0,0,0,0,0,0,1,31,1,1,1,2,4,6,1,2,-0.164726,13,?
4268,10,0,1,0,0,0,0,24,0,1,0,0,0,0,2,4,0,2,7,5,?,0,0,1,0,0,1,1,31,1,1,1,99,99,5,1,2,-0.15927,13,?
4269,3,0,1,1,0,0,0,35,0,1,1,0,0,0,4,4,4,2,?,0,1,0,0,0,0,0,0,2,31,1,1,1,2,4,5,1,2,-0.256461,12,?
4270,9,0,0,1,0,0,0,25,0,0,1,0,0,0,4,2,0,2,4,0,?,0,0,0,0,0,0,2,31,1,1,1,99,99,4,1,2,-0.252823,6,?
4276,4,0,0,1,0,0,0,27,0,0,1,0,0,0,1,4,0,2,2,0,1,0,0,0,0,0,0,2,31,0,1,99,99,99,3,1,2,-0.15,4,?
4277,3,0,0,1,0,0,0,20,0,0,1,0,0,0,4,4,6,2,0,0,1,0,1,1,0,0,0,1,31,1,1,1,2,4,5,1,2,-0.52,13,?
4281,5,0,1,0,1,0,0,32,0,1,0,1,1,0,1,3,0,2,4,55,2,0,0,0,0,0,0,2,31,1,1,1,2,4,2,1,2,-0.18,10,?
4290,9,0,1,1,0,0,1,21,0,1,1,0,0,1,4,1,2,2,1,0,1,0,0,0,0,0,0,2,31,1,1,1,2,99,3,1,2,-0.27,5,?
4298,9,0,0,1,0,0,0,35,?,0,?,?,0,?,4,3,17,2,?,?,?,0,0,0,0,0,0,1,31,1,1,1,2,4,5,1,2,-0.161182,13,?
4312,3,0,0,1,0,0,1,22,0,0,1,0,0,0,4,4,0,?,1,0,2,0,0,0,0,0,0,2,31,1,1,99,2,99,3,1,2,-0.09508,4,?
4315,6,1,0,0,0,0,0,24,1,0,?,?,?,0,?,4,3,?,13,0,3,0,0,0,0,0,0,2,31,1,1,1,2,4,3,1,2,-0.127455,5,?
4319,5,0,0,0,0,0,1,34,0,0,0,0,0,1,4,2,0,2,2,0,3,0,1,1,0,0,0,1,31,1,1,1,2,4,6,1,2,-0.27,14,?
4320,5,0,1,1,0,0,0,25,0,1,0,0,0,0,3,4,8,2,0,8,1,0,1,1,0,0,0,2,31,1,1,1,2,99,5,1,2,-0.32,13,?
4322,9,0,1,0,0,0,0,24,0,1,0,0,0,0,4,2,0,2,7,0,?,0,0,0,0,0,0,2,31,1,1,1,2,4,2,1,2,-0.255727,8,?
4323,5,0,0,0,0,1,0,22,0,0,0,0,1,0,4,3,3,2,0,0,2,0,1,1,0,0,0,2,31,1,1,1,2,4,4,1,2,-0.33,13,?
4329,10,0,0,0,0,0,1,31,0,0,0,0,0,1,4,3,9,2,0,0,2,1,0,1,1,0,0,1,31,1,1,1,2,99,12,1,2,-0.27,13,?
4334,10,0,0,1,0,0,0,32,0,0,1,0,0,0,4,3,1,?,1,0,2,0,0,0,0,0,0,1,31,1,1,1,99,99,7,1,2,-0.356074,7,?
4344,10,0,0,1,0,0,0,17,0,0,1,0,0,0,4,3,1,2,0,?,1,0,0,0,0,1,1,2,31,1,1,1,2,99,5,1,2,-0.170556,14,?
4352,4,1,0,0,0,0,0,23,1,0,0,0,0,0,4,4,3,1,11,0,3,0,0,0,0,0,1,2,31,1,1,1,2,4,6,1,2,-0.31,14,?
4358,10,0,0,1,0,0,0,35,0,0,1,0,0,0,4,3,1,2,5,0,1,1,1,1,0,0,0,1,31,1,1,1,99,99,5,1,2,-0.25,8,?
4363,10,0,0,0,0,0,1,27,0,0,0,0,0,1,4,3,0,2,2,0,3,0,0,1,0,0,0,2,31,1,1,1,2,99,5,1,2,-0.21,12,?
4373,9,0,1,0,0,0,1,28,0,1,1,0,0,0,4,?,5,2,8,0,3,0,0,0,0,0,0,2,31,1,1,99,99,99,3,1,2,-0.195367,5,?
4377,5,0,1,1,0,0,0,29,0,1,0,0,0,0,4,4,3,2,1,0,?,0,0,0,0,0,0,1,31,1,1,1,2,99,3,1,2,-0.19767,7,?
4379,4,0,1,0,0,0,0,27,0,1,0,0,0,0,4,2,2,2,3,0,?,0,0,0,0,0,0,2,31,1,1,99,2,99,3,1,2,-0.221642,7,?
4384,6,0,1,0,0,0,0,29,0,1,0,0,0,0,4,4,0,1,3,0,3,0,0,0,0,0,0,2,31,1,1,1,2,4,4,1,2,-0.26,5,?
4395,9,0,1,0,0,0,0,34,0,1,0,0,0,0,1,3,3,?,7,40,?,0,0,0,0,0,0,1,31,1,1,1,2,99,6,1,2,-0.24987,7,?
4396,7,0,1,1,0,0,0,18,0,1,1,0,0,0,4,3,18,2,0,0,1,0,1,1,0,0,1,2,31,1,1,1,2,99,6,1,2,-0.26,14,?
4402,9,0,1,1,0,0,1,29,0,1,0,0,0,0,4,5,0,2,2,0,1,0,0,0,1,0,1,1,31,1,11,99,99,99,5,1,2,-0.14,14,?
4415,10,0,1,1,0,0,0,20,0,1,0,0,0,0,2,2,0,2,0,9,1,0,0,0,0,0,0,2,31,0,1,1,99,99,2,1,2,-0.25,5,?
4422,10,0,0,1,0,0,0,16,0,0,1,0,0,0,4,5,0,2,1,0,1,0,1,1,0,0,1,2,31,1,1,1,2,4,6,1,2,-0.52,13,?
4423,8,0,0,1,0,0,0,23,0,0,1,0,0,0,4,4,10,2,0,0,1,0,1,1,0,0,0,1,31,1,1,1,2,4,5,1,2,-0.51,13,?
4430,7,0,1,0,0,0,0,23,?,?,0,?,0,0,4,2,?,2,0,0,3,0,0,0,0,0,0,2,31,1,1,1,2,99,3,1,2,-0.179059,7,?
4443,9,0,0,1,0,0,0,29,0,0,1,0,0,0,4,2,3,2,0,0,1,0,0,0,0,0,0,2,31,1,1,1,99,99,5,1,2,-0.28,4,?
4472,10,0,1,0,0,0,0,29,0,1,0,0,0,0,4,3,0,2,0,0,1,0,0,0,0,0,0,1,31,1,1,1,99,99,4,1,2,-0.25,6,?
4478,8,0,1,0,0,0,0,24,0,1,0,0,0,0,4,3,1,1,11,0,3,0,0,0,0,0,0,1,31,1,1,1,2,99,2,1,2,-0.18,5,?
4488,7,0,1,1,0,0,0,24,0,1,0,0,0,0,4,3,3,2,1,0,1,0,0,0,0,0,0,1,31,1,1,1,2,99,4,1,2,-0.21,10,?
4494,8,0,0,1,0,0,0,28,0,1,0,0,0,0,4,3,0,2,6,0,1,0,0,0,0,0,0,2,31,1,1,1,2,99,4,1,2,-0.27,7,?
4496,6,0,1,0,0,0,0,32,0,1,0,0,0,0,4,3,1,2,1,0,1,0,0,0,0,0,0,2,31,1,1,1,2,4,3,1,2,-0.35,6,?
4501,8,0,0,1,0,0,0,24,0,0,1,0,0,0,2,3,0,2,12,20,3,0,0,0,0,0,0,2,31,1,1,1,2,4,3,1,2,-0.14,5,?
4502,6,1,0,0,0,0,0,32,1,0,0,0,0,0,4,3,4,2,4,0,2,0,0,0,0,0,0,1,31,1,1,99,2,4,2,1,2,-0.34,5,?
4514,6,0,0,1,0,0,0,29,0,0,1,0,0,0,4,3,0,2,0,0,1,0,0,1,0,0,0,1,31,1,1,1,2,4,10,1,2,-0.35,14,?
4524,3,0,1,0,0,0,0,20,0,1,0,0,0,0,4,3,20,2,1,0,3,0,0,1,0,0,1,2,31,1,1,1,2,4,4,1,2,-0.23,13,?
4534,2,0,1,1,0,0,0,26,0,1,1,0,0,0,4,3,?,2,8,0,3,0,0,0,0,0,0,1,31,1,1,1,2,4,4,1,2,-0.107634,7,?
4538,10,0,0,0,0,0,0,36,?,?,?,?,?,0,4,2,?,?,4,0,3,0,0,0,0,0,0,2,31,1,1,1,2,4,2,1,2,-0.266102,5,?
4548,10,0,0,1,0,0,0,24,0,0,1,0,?,?,4,5,?,1,?,0,?,0,0,0,0,0,0,2,31,?,1,1,99,99,4,1,2,-0.116626,4,?
4570,10,0,1,0,0,0,0,30,0,1,0,0,0,0,4,5,1,2,0,0,1,1,0,1,0,0,1,2,31,1,1,1,2,99,6,1,2,-0.25,11,?
4571,4,0,0,0,0,1,0,29,0,0,0,0,1,0,2,3,4,2,8,15,?,0,0,1,0,0,0,1,31,1,1,1,2,4,4,1,2,-0.264795,14,?
4576,10,0,1,1,0,0,0,23,0,1,1,0,0,0,2,3,?,2,?,4,1,0,0,0,0,0,0,1,31,1,1,1,2,99,3,1,2,-0.26633,6,?
4586,8,0,0,1,0,0,0,18,0,1,1,0,0,0,4,5,1,2,2,0,1,0,1,1,0,0,0,2,31,1,1,1,2,99,8,1,2,-0.63,13,?
4597,2,0,1,0,0,0,0,23,0,1,0,0,0,0,1,2,0,2,3,50,1,0,0,0,0,0,0,1,31,1,1,1,2,99,2,1,2,-0.29,7,?
4600,9,0,0,1,0,0,0,20,0,0,1,0,0,0,4,3,0,2,0,0,1,0,0,1,0,0,0,1,31,1,1,99,99,99,5,1,2,-0.16,13,?
4601,6,0,1,0,0,0,0,17,0,1,1,0,0,0,4,3,0,2,?,0,1,0,0,0,0,0,0,2,31,0,1,1,99,99,2,1,2,-0.256185,7,?
4603,8,0,0,0,0,1,0,30,0,0,0,0,1,0,2,3,0,2,0,8,1,0,0,0,0,0,0,2,31,1,1,1,2,99,2,1,2,-0.27,5,?
4605,10,0,0,1,0,0,0,21,0,0,1,0,0,0,?,3,?,?,3,?,1,0,0,0,0,0,0,1,31,1,1,1,99,99,5,1,2,-0.189781,7,?
4608,10,0,1,1,0,0,1,22,0,1,1,0,0,0,4,4,0,2,2,0,1,0,0,0,0,0,0,1,31,1,1,1,2,99,4,1,2,-0.19,10,?
4612,2,0,1,1,0,0,1,22,0,1,1,0,0,1,1,5,5,2,6,24,1,0,0,0,0,0,0,2,31,1,1,1,2,4,7,1,2,-0.22,14,?
4614,9,0,0,1,0,0,1,24,0,1,1,0,0,1,1,3,0,2,3,42,3,0,0,0,0,0,0,2,31,1,1,1,99,99,6,1,2,-0.16,9,?
4615,9,0,0,0,0,0,1,32,0,0,0,0,0,1,4,3,?,2,?,0,3,0,0,0,0,0,0,1,31,1,1,99,2,99,9,1,2,-0.175957,5,?
4617,9,0,0,1,0,0,0,32,0,0,1,0,0,0,4,3,0,?,?,0,1,0,0,0,0,0,0,1,31,1,1,1,99,99,7,1,2,-0.310335,7,?
4622,5,0,0,1,0,0,0,19,0,0,1,0,0,0,4,3,0,2,0,0,1,0,0,0,0,0,0,1,31,1,1,1,99,99,2,1,2,-0.23,7,?
4628,10,1,1,0,0,0,0,35,0,1,0,0,0,0,2,3,0,2,?,30,3,0,0,0,0,0,0,2,31,1,1,1,2,99,2,1,2,-0.239969,5,?
4629,8,0,1,1,0,0,0,20,0,1,1,0,0,0,2,3,0,2,11,21,2,0,0,0,0,0,0,1,31,1,1,1,2,4,3,1,2,-0.21,5,?
4645,4,0,1,0,0,0,0,27,0,1,0,0,0,0,4,3,1,2,4,0,3,0,0,0,0,0,0,1,31,1,1,1,2,4,3,1,2,-0.21,6,?
4646,8,0,1,1,0,0,0,37,0,0,1,0,0,0,4,4,4,2,0,0,3,0,0,0,0,0,0,2,31,1,1,99,2,99,5,1,2,-0.17,4,?
4648,6,0,0,0,1,1,0,22,0,0,0,0,1,0,1,4,0,2,7,42,2,0,0,1,0,0,1,1,31,1,1,1,2,4,6,1,2,-0.36,14,?
4666,4,0,1,0,0,0,0,55,0,1,0,0,0,0,4,3,5,2,0,0,1,0,0,0,0,0,0,2,31,1,1,1,2,99,3,1,2,-0.17,10,?
4670,7,0,1,0,0,0,0,28,0,1,0,0,0,0,1,3,28,2,11,32,1,0,0,0,0,0,1,2,31,1,1,1,2,4,4,1,2,-0.2,14,?
4714,7,0,0,0,0,0,1,25,0,0,0,0,0,1,1,2,0,2,7,40,1,0,0,0,0,0,0,1,31,1,1,1,2,99,4,1,2,-0.19,6,?
4723,10,0,0,0,0,0,1,22,0,0,0,0,0,1,4,3,22,2,0,?,1,0,0,1,0,0,0,2,31,1,1,99,2,99,5,1,2,-0.310413,14,?
4739,6,0,1,0,0,0,0,29,0,1,0,0,0,0,4,3,0,2,0,0,1,0,0,0,0,0,0,2,31,1,1,1,2,99,3,1,2,-0.42,6,?
4741,8,0,0,1,0,0,0,34,0,1,1,0,0,0,4,3,0,2,7,0,1,0,0,1,0,0,0,2,31,1,1,1,2,4,5,1,2,-0.25,13,?
4747,9,0,1,0,0,0,0,34,0,1,0,0,0,0,4,4,?,2,?,0,?,0,0,0,0,0,0,1,31,1,1,99,2,99,4,1,2,-0.191517,7,?
4757,10,0,1,1,0,0,0,25,0,1,1,0,0,0,4,3,0,2,1,0,3,0,0,0,0,0,0,1,31,1,1,1,2,4,4,1,2,-0.22,6,?
4759,10,0,1,1,0,0,0,30,0,1,0,0,0,0,4,3,2,2,0,0,1,0,0,0,1,0,1,2,31,1,1,1,2,99,5,1,2,-0.18,7,?
4765,7,0,0,1,0,0,0,25,0,0,1,0,0,0,1,5,3,2,1,38,1,0,0,1,0,0,1,1,31,1,1,1,2,4,12,1,2,-0.36,14,?
4782,6,0,1,1,0,0,0,26,0,1,0,0,0,0,2,2,4,2,8,?,2,0,0,0,0,0,0,2,31,1,1,1,99,99,3,1,2,-0.227741,7,?
4785,8,0,1,1,0,0,0,26,0,1,0,0,0,0,4,4,2,2,5,0,1,0,0,0,0,0,0,2,31,1,1,1,99,99,3,1,2,-0.17,7,?
4797,10,0,1,1,0,0,0,26,0,1,1,0,0,0,4,3,0,2,0,0,1,0,0,0,0,0,0,1,31,1,1,1,99,99,3,1,2,-0.31,5,?
4802,1,0,0,0,0,1,0,27,0,0,0,0,1,0,1,3,0,2,3,50,3,0,0,0,0,0,0,1,31,1,1,1,2,4,6,1,2,-0.19,10,?
4803,5,0,0,0,0,1,0,36,0,0,0,0,1,0,2,2,0,1,2,30,2,0,0,0,0,0,0,2,31,1,1,1,2,99,2,1,2,-0.13,5,?
4815,4,0,1,0,0,0,0,24,0,1,0,0,0,0,4,3,0,2,11,0,1,0,0,1,0,0,1,2,31,1,1,1,2,4,3,1,2,-0.23,14,?
4816,4,1,1,0,0,0,0,35,0,1,0,0,0,0,2,4,2,1,11,0,3,0,0,0,0,0,0,2,31,1,1,1,2,4,3,1,2,-0.17,5,?
4839,9,0,1,1,0,0,0,25,0,1,1,0,0,0,4,3,0,2,0,0,1,0,0,0,0,0,0,2,31,1,1,1,99,99,3,1,2,-0.24,5,?
4867,10,0,1,1,0,0,1,19,0,?,?,0,0,1,3,3,0,?,?,0,1,0,0,0,0,0,0,2,31,1,1,1,99,99,3,1,2,-0.205866,4,?
4868,6,0,1,0,0,0,0,31,0,1,0,0,0,0,1,4,0,1,8,40,3,0,0,0,0,0,0,2,31,1,1,1,2,4,2,1,2,-0.22,10,?
4874,7,0,1,0,0,0,1,20,0,1,0,0,0,0,3,3,0,2,0,0,1,0,0,0,0,0,0,1,31,1,1,1,99,99,2,1,2,-0.35,7,?
4895,4,0,1,1,0,0,0,23,0,1,1,0,0,0,3,3,1,2,0,0,1,0,0,1,0,0,0,2,31,1,1,1,99,99,7,1,2,-0.27,11,?
4900,9,0,0,1,0,0,0,22,0,0,1,0,0,0,4,2,0,2,?,0,1,0,0,0,0,0,0,2,31,1,1,1,99,99,3,1,2,-0.381515,6,?
4903,7,0,1,0,0,0,0,27,0,1,0,0,0,0,4,2,0,2,0,0,2,0,0,0,0,0,0,2,31,1,1,1,99,99,4,2,2,-0.26,7,?
4920,5,0,1,1,0,0,0,26,0,1,1,0,0,0,4,3,3,2,1,0,3,0,0,0,0,0,0,1,31,1,1,1,2,4,4,1,2,-0.13,9,?
4921,7,0,1,0,0,0,0,24,0,1,0,0,0,0,4,3,0,2,7,0,1,0,0,0,0,0,0,2,31,1,1,1,99,99,3,1,2,-0.28,7,?
4923,8,1,0,0,0,0,0,37,1,0,0,0,0,0,4,3,0,2,4,0,3,1,1,0,0,0,0,1,31,1,1,1,2,99,4,1,2,-0.15,5,?
4930,10,0,1,1,0,0,0,34,0,1,1,0,0,0,4,3,0,2,0,0,1,0,0,0,0,0,0,2,31,1,1,1,2,99,4,1,2,-0.34,7,?
4934,6,0,1,0,0,0,0,30,0,1,0,0,0,0,4,4,1,2,?,0,2,0,0,0,0,0,0,2,31,1,1,1,99,99,3,1,2,-0.195481,7,?
4943,3,0,1,0,0,0,0,20,0,1,0,0,0,0,4,3,0,2,3,0,?,0,0,1,0,1,0,1,31,1,1,1,2,99,3,1,2,-0.289588,13,?
4969,8,0,1,0,0,0,0,20,0,1,0,0,0,0,3,3,0,2,?,0,?,0,0,0,0,0,0,1,31,1,1,1,99,99,3,1,2,-0.285424,7,?
4980,10,0,1,1,0,0,0,33,0,1,1,0,0,0,4,4,0,2,?,0,1,0,0,0,0,0,0,2,31,1,1,1,2,4,5,1,2,-0.165906,7,?
4996,9,0,0,0,0,0,1,31,0,0,0,0,0,1,4,4,6,2,7,0,3,1,0,1,0,0,0,2,31,1,1,1,99,99,9,1,2,-0.3,14,?
4998,10,0,0,1,0,0,0,25,0,0,1,0,0,0,4,1,?,2,11,0,2,0,0,0,0,0,0,2,31,1,1,1,99,99,3,1,2,-0.302841,6,?
5006,7,0,1,1,0,0,0,24,0,1,0,0,0,0,4,3,2,?,1,0,?,0,0,0,0,0,0,2,33,1,1,1,99,99,3,1,2,-0.246395,7,?
5012,8,0,1,1,0,0,0,29,0,1,1,0,0,0,4,4,29,2,1,0,2,1,1,1,1,0,0,2,33,1,1,1,2,4,6,1,2,-0.32,13,?
5020,9,0,1,0,0,0,0,26,0,1,0,0,0,0,4,3,0,2,2,0,3,0,0,0,0,0,0,1,31,1,1,1,2,4,3,1,2,-0.18,6,?
5025,9,0,0,0,0,1,0,35,0,0,1,0,1,0,4,3,0,1,2,0,3,0,1,1,0,1,0,2,31,?,1,1,2,4,2,1,2,-0.198148,13,?
5030,10,0,0,0,0,0,1,19,0,0,0,0,0,1,4,3,5,2,2,0,1,0,1,0,0,0,0,1,31,1,1,1,99,4,5,1,2,-0.19,13,?
5033,10,0,0,1,0,0,0,21,0,0,?,?,0,0,4,3,0,2,0,0,1,0,0,0,0,0,0,2,31,0,1,1,2,4,6,1,2,-0.220717,7,?
5040,9,0,1,0,0,0,1,26,0,1,0,0,0,0,3,3,0,2,7,?,?,0,0,0,0,0,0,2,31,1,1,1,2,99,4,1,2,-0.191913,7,?
5041,10,0,0,0,0,0,1,43,0,0,0,0,0,1,4,3,1,2,0,0,3,0,1,1,0,1,0,1,31,1,1,1,2,99,10,1,2,-0.22,14,?
