@relation 'Census-weka.filters.unsupervised.attribute.Remove-R60-61-weka.filters.unsupervised.attribute.Remove-R2-8,10-16,18-24,27-28,30-36,38-39,41-55,57-58-weka.filters.unsupervised.attribute.InterquartileRange-R2-O3.0-E6.0-weka.filters.unsupervised.attribute.Remove-R11-12'

@attribute random_ID numeric
@attribute m_age numeric
@attribute d_age numeric
@attribute bedroom_count_code numeric
@attribute m_years_at_addr_code numeric
@attribute m_work_hours numeric
@attribute d_years_at_addr_code numeric
@attribute d_work_hours numeric
@attribute usual_resdnt_count_code numeric
@attribute total_income_hhld_code {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14}

@data
199,33,30,3,2,0,0,40,5,12
200,33,36,4,1,3,3,40,3,14
201,30,32,2,2,8.619314,3,10,5,12
203,33,34,3,0,0,10,40,4,9
204,32,37,4,2,0,4,45,3,13
205,41,49,4,21,36,22,44,3,14
206,29,31,3,0,0,0,40,3,9
207,30.699966,27,4,2.788198,0,0,40,3,11
208,36,37,3,6,37,2,45,3,13
209,32,37,2,1,40,2,50,3,12
210,38,39,3,2,58,0,0,5,12
211,37,47,5,0,45,3,40,4,12
212,35,41,3,0,0,0,0,4,2
213,38,28,3,8,8.619314,4,40,6,12
214,30.699966,45,4,2.788198,0,1,40,3,10
215,37,44,3,7,0,7,40,4,14
216,28,33,3,2,18,2,40,3,13
217,23,24,1,0,0,0,2,3,6
218,25,33.721865,2,2.788198,0,2.823703,0,6,11
221,31,33.721865,3,0,0,2.823703,0,3,5
222,37,33.721865,4,4,37,2.823703,0,2,10
225,31,30,3,4,0,2,45,3,14
227,43,35,3,7,62,5,43,5,12
229,30,29,3,3,0,3,30,4,7
231,35,35,4,6,0,0,50,5,14
233,30,37,4,8,0,5,40,4,14
234,36,32,3,0,8.619314,0,64,5,11
235,35,34,3,2,5,2,50,4,12
236,22,24,3,0,0,0,40,4,9
237,33,28,4,1,0,3,45,3,12
238,35,33.721865,3,0,0,2.823703,0,4,14
239,31,33,2,2,0,3,40,4,10
240,29,44,5,21,0,5,40,12,14
242,37,32,3,0,0,0,45,3,14
246,33,38,4,0,40,5,45,3,13
247,24,25,3,3,0,3,70,3,13
248,34,34,4,7,0,7,40,6,12
249,33,33.721865,3,6,0,2.823703,0,2,9
250,36,35,4,1,0,1,45,3,14
251,27,31,4,0,8.619314,0,48,4,12
252,32,36,3,5,0,3,40,5,12
253,34,34,2,0,0,0,38,3,10
254,29,31,2,2,0,5,30,4,10
255,31,35,3,3,0,3,45,4,12
256,33,30,3,0,0,17,40,5,12
257,42,40,3,12,10,12,40,4,14
258,26,33.721865,3,2,0,2.823703,0,8,14
259,31,31,3,6,0,6,40,4,12
260,31,32,2,3,0,2,45,4,11
262,28,33,3,0,40,2,40,5,14
263,27,32,3,3,0,3,40,4,14
264,46,41,5,0,0,5,8,4,13
265,32,38,2,1,0,2,40,4,10
266,40,33.721865,3,9,0,2.823703,0,2,9
267,34,32,3,4,8.619314,6,50,5,13
268,31,34,4,2,0,4,58,3,13
269,26,35,3,1,0,18,25,5,9
271,36,34,3,9,0,6,50,4,14
277,33,32,3,3,40,3,60,4,14
278,25,39,3,5,0,33,0,9,14
279,30.699966,25,3,2.788198,0,0,0,2,12
280,20,29,3.247138,0,60,0,45,3,12
281,33,33,3,2,13,2,40,4,13
282,34,34,3,5,8.619314,5,40,6,13
284,36,37,3,0,40,0,50,5,13
286,41,41,4,4,14,2,30,5,12
287,29,33.721865,1,2,0,2.823703,0,3,5
288,41,51,4,1,0,1,50,5,14
289,23,25,3,5,0,1,40,6,12
291,40,31,4,0,40,0,70,6,10
292,27,37,4,4,50,4,90,4,12
294,26,28,3,0,2,3,70,3,14
295,24,26,3,3,0,3,40,4,9
297,30,33,3,6,0,4,55,4,14
298,21,33.721865,4,9,0,2.823703,0,4,14
299,32,44,4,5,0,0,38,6,11
300,33,35,4,0,3,1,60,3,13
301,26,24,3,2,0,2,45,6,10
302,32,33,3,0,40,0,58,4,10
303,38,40,3,1,0,0,0,9,10
305,38,34,4,6,8.619314,5,60,4,13
307,32,33.721865,3,2,0,2.823703,0,5,5
309,31,28,3.247138,5,8.619314,0,0,3,14
310,33,34,5,2,0,2,70,4,12
311,32,36,5,4,38,0,40,6,12
312,41,36,3,0,12,2,50,4,13
313,37,37,3,2.788198,0,3,34.026761,4,14
314,18,33.721865,4,1,0,2.823703,0,4,10
315,30.699966,31,3,2.788198,0,3,48,7,11
317,20,33.721865,1,1,0,2.823703,0,2,5
318,28,33.721865,3,4,30,2.823703,0,5,6
321,20,29,4,2,0,4,40,3,13
322,30,34,3,15,8.619314,10,46,6,14
323,38,39,4,8,35,8,60,3,14
324,38,32,2,0,50,2,34.026761,3,12
325,33,36,3,0,42,0,40,3,13
326,33,36,3,4,30,3,40,4,14
329,30,29,3,0,0,0,40,4,13
330,34,37,3,3,0,1,40,3,12
331,26,33.721865,3,5,8.619314,2.823703,0,3,8
332,35,39,3,0,0,2.823703,0,4,10
333,29,33.721865,4,3,0,2.823703,0,4,11
335,61,48,3,14,40,21,0,8,14
336,22,27,4,1,60,1,60,7,12
337,42,46,3,9,0,1,34.026761,10,10
340,33,27,4,1,8,1,56,4,13
341,21,22,4,12,0,4,40,5,12
342,32,36,3,1,0,0,40,5,11
343,23,29,3,0,30,0,40,5,12
344,25,35,3.247138,4,0,4,45,3,12
345,16,34,3,0,0,0,0,4,12
346,35,36,4,10,0,10,0,4,11
347,33,38,3,5,0,2,40,5,13
348,35,37,4,0,0,0,13,6,8
349,28,23,5,0,0,0,45,7,13
350,19,33.721865,3,0,0,2.823703,0,6,14
351,19,33.721865,3,0,0,2.823703,0,4,4
353,31,34,3,1,0,2,40,3,13
354,30,34,3,2,40,0,40,3,14
355,24,33.721865,2,0,0,2.823703,0,6,11
356,35,36,2,1,8.619314,0,40,4,14
358,30,33,2,1,0,2,40,3,12
359,35,42,3,3,0,3,34.026761,4,11
360,33,32,3,5,0,5,50,4,12
362,32,42,4,0,8.619314,0,0,4,13
363,27,30,3,1,0,30,40,5,14
364,31,27,5,0,20,0,40,7,14
367,30,28,4,0,0,2,40,6,9
368,33,29,3,2,0,6,46,4,11
369,33,32,4,1,0,1,50,4,12
370,30,34,3,2.788198,0,6,40,4,10
372,39,50,5,2.788198,8.619314,3,53,5,12
374,36,33.721865,3,4,25,2.823703,0,5,7
375,27,33.721865,2,0,8.619314,2.823703,0,3,7
376,26,33.721865,3,4,0,2.823703,0,4,5
377,30,35,5,3,10,3,40,3,12
378,24,26,3,5,35,10,60,5,12
379,33,29,3,0,0,0,40,5,13
380,34,42,2,0,0,0,40,3,14
381,37,36,4,0,10,4,40,5,14
382,30,34,4,0,8.619314,0,40,4,9
383,36,33,2,0,0,0,45,3,10
384,32,31,3,1,0,4,34.026761,7,6
385,27,33.721865,3,2.788198,0,2.823703,0,5,6
386,24,29,3,5,9,0,55,4,13
387,27,32,2,0,20,0,40,3,14
388,30,35,4,0,10,2.823703,55,4,12
389,31,31,4,5,22,5,60,4,12
390,27,31,3,2,0,6,41,4,12
391,25,33.721865,4,0,8.619314,2.823703,0,2,6
392,26,33,3,0,0,0,56,4,12
394,32,33.721865,3,0,0,2.823703,0,7,7
396,34,39,4,0,0,2.823703,0,3,8
397,29,31,3,3,32,10,45,6,10
398,36,39,4,2,0,5,48,4,11
399,34,31,3,0,35,0,45,4,13
400,24,33.721865,5,1,0,2.823703,0,6,9
401,32,29,3,2,18,2.823703,0,4,11
402,35,37,3,2,0,2,40,4,14
403,37,53,3,3,0,3,50,3,14
404,30,33.721865,3,1,25,2.823703,0,4,8
408,28,31,3,1,0,1,50,3,12
409,38,34,4,7,50,8,43,3,13
410,35,38,2,3,0,1,60,5,12
411,35,37,4,0,0,0,45,5,14
413,26,30,3,1,30,2,40,3,12
414,36,36,3,1,0,1,40,4,14
415,35,32,4,5,0,6,40,4,14
418,33,28,5,1,8.619314,3,50,4,12
419,31,26,6,1,40,1,34.026761,4,10
420,24,25,2,0,0,2,34.026761,3,12
421,31,28,3,1,2,0,46,3,12
423,36,35,4,0,0,0,34.026761,4,11
424,32,29,3,5,62,5,80,3,12
426,32,42,4,5,15,4,10,6,13
427,34,36,4,10,30,2,40,3,11
428,29,34,2,5,40,5,40,5,13
429,34,37,3,5,60,5,40,3,13
430,17,24,2,0,0,0,0,4,3
431,35,38,3,5,20,0,34.026761,3,13
433,38,42,3,4,0,3,40,4,11
434,35,34,4,0,0,0,55,7,7
435,23,24,3,0,24,0,45,3,11
438,35,37,3,6,0,7,32,3,7
441,32,33.721865,3,8,0,2.823703,0,5,9
442,29,33,3,12,0,12,44,3,12
443,40,33,3,3,15,4,50,3,13
444,28,31,3,0,0,0,60,3,11
445,33,37,4,1,5,2.823703,48,3,13
450,35,33.721865,4,0,14,2.823703,0,7,13
451,35,31,2,0,0,0,45,3,11
453,25,28,3,0,0,0,50,4,12
454,22,21,3,0,0,19,90,6,14
456,31,33.721865,4,0,0,2.823703,0,4,5
457,35,41,4,2,0,5,40,4,14
458,28,34,3,4,40,3,34.026761,3,13
460,36,37,3,15,0,3,55,6,12
462,31,35,3,0,0,0,60,3,12
463,20,21,3,21,0,4,48,7,14
465,21,26,3,1,0,1,58,3,10
466,35,38,5,0,1,0,40,4,14
467,31,33,3,2,0,2,40,5,12
470,26,27,3,3,12,0,40,3,14
471,29,34,3,2,0,2,30,3,12
472,21,33.721865,3,1,0,2.823703,0,6,13
473,37,43,3,4,0,4,40,4,13
474,25,33.721865,3,0,0,2.823703,0,3,7
475,24,24,3,0,0,0,47,3,12
477,21,33.721865,3,2,6,2.823703,0,2,8
478,27,37,4,2,12,0,40,5,12
479,32,35,3,4,0,9,43,4,12
481,18,25,3.247138,0,0,2.823703,0,6,5
482,29,27,3,1,0,1,40,4,13
483,34,39,3,8,0,8,40,3,14
485,29,31,3,2,7,2,52,4,11
486,36,40,3,6,0,5,40,3,14
488,33,30,3,3,24,5,21,4,13
489,23,26,3,0,0,0,40,3,7
490,32,36,5,2,40,4,70,6,14
492,34,33.721865,2,2,0,2.823703,0,2,7
493,25,32,4,0,0,1,45,4,14
494,32,44,3,5,0,5,45,5,13
496,35,37,3,8,0,15,40,13,14
500,31,31,3,1,40,1,30,3,14
501,29,29,5,3,8.619314,1,45,4,13
502,33,34,4,5,40,5,46,4,14
505,22,23,3,0,0,0,40,3,10
506,26,33.721865,3,0,0,2.823703,0,4,10
507,32,33,3,3,0,2,45,4,11
509,31,34,3,0,0,2,45,3,14
510,19,33.721865,4,0,8,2.823703,0,4,13
515,31,41,3,2,16,2,40,3,14
517,35,36,4,0,0,0,45,4,14
519,35,36,2,1,36,1,40,4,14
520,41,24,3,0,0,1,50,7,13
521,36,32,4,3,0,3,45,3,13
522,33,36,4,3,0,3,55,4,14
523,26,24,4,0,40,0,40,4,12
525,28,33,2,2.788198,0,4,0,3,2
526,25,32,3,0,0,0,90,3,12
527,41,42,3,2,0,2,48,6,12
528,33,38,3,5,0,6,50,4,13
529,34,31,3,1,0,1,50,4,13
530,28,39,3,2,0,2,40,3,14
531,29,33,3,4,2,3,42,4,14
532,33,33,3,0,0,0,40,4,13
533,25,33.721865,4,2.788198,0,2.823703,0,4,6
534,36,35,4,7,9,2,45,5,13
535,33,32,4,2,25,2,40,4,12
538,23,23,3,0,0,0,40,3,11
539,29,30,3,5,0,1,45,6,12
540,31,37,4,1,0,1,41,4,14
542,36,33.721865,4,5,0,2.823703,0,4,5
547,21,33.721865,3,0,0,2.823703,0,3,7
548,28,25,3,0,0,0,55,4,13
549,31,31,3,3,32,0,40,3,13
550,36,41,5,7,0,9,48,7,12
552,30,28,3,5,10,6,40,3,10
553,28,33.721865,4,0,0,2.823703,0,5,12
554,37,33.721865,3.247138,2,8.619314,2.823703,0,7,12
555,22,22,2,2,35,0,47,3,7
558,38,34,3,8,10,5,40,5,14
559,36,27,3,2,0,0,0,4,9
560,35,40,4,3,40,0,40,4,12
561,36,32,3,3,0,3,50,4,14
562,33,33,3,2,0,0,38,3,14
565,29,31,3,6,0,6,49,4,10
566,35,34,4,2,0,3,40,4,13
567,27,38,3,4,0,6,48,4,10
569,30,31,3,2,23,4,45,4,12
570,36,42,3,2,0,2,42,4,10
571,24,32,3,4,0,6,36,4,12
572,34,31,3,3,0,2,40,4,12
573,33,35,3,1,40,0,50,3,14
574,35,44,3,1,20,2,40,5,13
575,29,33,4,3,0,3,45,3,14
576,28,29,3,8,0,5,40,5,13
577,23,33.721865,2,0,0,2.823703,0,3,5
578,38,33.721865,3,4,40,2.823703,0,3,12
579,29,33.721865,2,5,0,2.823703,0,6,3
580,35,34,3,5,8.619314,5,0,4,12
585,24,35,3,0,0,4,50,3,12
586,22,33.721865,4,0,0,2.823703,0,2,5
587,26,27,2,0,0,3,43,4,12
588,35,33.721865,3,3,8.619314,2.823703,0,4,4
589,26,33.721865,2,2,0,2.823703,0,4,8
590,33,33,4,2,0,1,55,4,13
592,41,41,4,13,0,9,40,4,14
593,37,34,3,2.788198,10,2.823703,48,4,13
594,24,37,4,1,0,2,55,4,10
595,20,25,3,0,20,0,40,5,11
598,34,38,4,0,0,0,50,4,12
599,30,33,4,0,3,2,50,4,13
601,26,33.721865,3,0,0,2.823703,0,4,14
602,25,34,3,0,14,0,40,3,13
603,29,31,2,0,0,0,45,4,13
604,29,30,2,2,40,3,45,4,11
607,25,35,3,2,0,2,50,7,14
608,35,33.721865,3,1,8.619314,2.823703,0,5,8
609,31,38,3,0,15,0,40,4,12
610,33,38,3,2,26,2,45,4,12
612,41,33.721865,4,10,0,2.823703,0,6,13
614,29,29,4,0,0,1,40,3,12
615,30,31,3,6,0,9,51,3,13
616,35,37,3,2,30,3,50,5,13
619,28,27,2,1,0,1,35,3,13
620,26,33.721865,2,2,0,2.823703,0,2,3
621,24,33.721865,3,3,5,2.823703,0,4,10
622,34,39,3,6,0,6,34.026761,4,10
623,34,37,4,3,38,2,50,4,13
624,38,36,4,2,0,3,40,5,14
626,16,33.721865,3,3,0,2.823703,0,9,12
627,29,33,3,3,27,6,40,3,13
628,33,43,3,6,0,6,40,4,13
630,36,39,3,2.788198,0,8,55,5,11
632,21,33.721865,4,7,0,2.823703,0,6,11
633,26,31,5,1,40,1,40,5,14
634,29,36,3,4,0,0,40,4,12
635,28,33.721865,3,3,8.619314,2.823703,0,4,8
636,34,34,3,3,0,5,44,4,12
637,32,41,4,5,24,0,40,7,12
639,34,41,3,4,14,4,40,4,7
640,31,35,3,7,40,7,38,4,13
641,19,24,6,0,40,0,39,9,14
642,31,31,4,0,60,0,60,5,12
643,29,36,4,4,60,1,40,4,13
644,29,27,4,4,15,4,45,6,9
645,41,44,4,1,30,2,50,3,13
646,34,31,3,3,0,2,50,4,13
647,28,28,2,3,0,2.823703,60,3,14
648,36,39,3,2,0,2,50,3,12
649,35,37,3,3,22,3,50,3,14
650,29,36,3,4,8.619314,4,60,4,9
651,30,32,3,2,0,0,40,3,14
653,33,36,3,6,0,3,48,5,13
655,36,34,3,4,0,1,40,4,11
656,35,42,3,3,6,3,60,4,14
657,22,38,3,0,19,2.823703,70,3,14
658,24,24,4,2,8.619314,2,80,4,12
662,21,33.721865,3,0,0,2.823703,0,3,8
663,36,38,3,4,0,8,40,4,10
664,35,38,2,1,8.619314,0,34.026761,3,13
665,37,41,3,0,0,2.823703,0,6,4
666,31,27,3,3,20,2,55,3,14
667,19,30,5,0,0,0,40,6,13
668,31,30,3,3,20,4,40,4,12
669,22,31,2,1,0,0,0,3,7
671,30.699966,44,2,2.788198,0,2.823703,0,6,1
672,36,38,3,2,40,8,0,6,13
674,27,29,2,2,0,2,48,3,12
675,31,38,3,0,0,0,34.026761,4,9
677,31,30,3,0,0,0,44,5,13
678,31,37,3,4,0,4,58,4,11
680,19,33.721865,3.247138,20,0,2.823703,0,3,14
681,32,27,4,5,62,3,70,6,13
682,26,33.721865,5,0,0,2.823703,0,4,14
683,31,31,3,0,0,2,45,4,12
684,34,34,4,1,0,0,22,8,12
685,24,19,3,4,0,2.823703,0,8,14
686,22,24,3,0,0,0,45,5,12
687,33,33,2,0,0,1,40,3,10
688,30,33.721865,3,2,0,2.823703,0,3,7
689,22,22,4,4,35,0,34,6,13
690,33,45,4,0,50,0,45,4,12
691,28,33,3,0,0,2,60,4,11
692,36,43,3,1,0,3,43,3,14
694,33,36,3,1,0,1,55,4,13
695,39,37,4,0,0,0,48,5,12
696,19,33.721865,2,0,0,2.823703,0,3,10
698,32,34,3,2.788198,0,2,0,5,11
700,42,33.721865,4,3,40,2.823703,0,3,12
702,28,32,3,1,0,1,50,3,12
704,31,31,2,2,8,2,37,3,13
705,34,34,3,1,0,0,40,5,10
708,33,37,3,2,45,2,60,3,12
709,18,33.721865,3,18,0,2.823703,0,6,14
710,29,37,4,3,0,0,10,8,10
712,38,44,4,2,0,1,53,5,14
713,26,33.721865,3,0,0,2.823703,0,11,11
714,21,25,4,0,30,0,0,4,11
715,21,33.721865,4,0,32,2.823703,0,4,14
716,24,25,3,0,0,0,60,8,12
717,32,37,3,4,15,3,45,5,13
719,27,33.721865,4,0,8.619314,2.823703,0,5,7
721,26,29,4,0,0,0,40,3,13
722,34,33.721865,4,8,0,2.823703,0,5,5
723,29,36,3,9,0,9,0,4,7
724,32,36,3,1,0,2,45,5,14
725,21,21,3,0,0,0,0,3,8
726,24,33.721865,3,10,0,2.823703,0,6,7
727,32,32,3,0,0,2.823703,0,4,14
728,23,33.721865,2,0,0,2.823703,0,2,4
729,28,33,3,1,0,2,40,3,13
731,48,33.721865,3,0,0,2.823703,0,6,11
732,30,32,3,2.788198,25,0,34.026761,3,11
733,27,28,5,0,0,1,50,4,9
734,36,35,3,4,0,2,34.026761,4,14
735,35,34,3,4,0,9,40,4,12
736,25,33.721865,3,3,0,2.823703,0,5,8
737,33,35,5,6,40,1,55,4,12
738,32,32,4,2,25,2,60,5,13
740,37,36,2,8,0,2.823703,0,7,7
741,34,39,3,6,15,6,50,4,14
743,32,32,4,2,0,2,40,3,12
744,31,33,2,0,0,0,0,5,5
745,31,38,3,1,30,2,55,3,12
746,39,39,5,12,4,12,60,8,13
747,26,25,3,1,0,2.823703,40,5,7
748,22,33.721865,3,13,0,2.823703,0,5,10
749,32,33,2,0,0,1,0,4,4
750,28,27,3,3,0,0,55,3,14
751,35,32,3,3,0,3,48,8,12
753,34,33,4,2,40,0,39,4,14
755,17,33.721865,2,0,9,2.823703,0,2,3
756,20,22,2,0,0,1,30,3,9
757,34,34,3,1,10,0,50,4,14
759,31,29,3,0,40,0,45,4,11
760,36,29,3,3,0,0,40,4,14
762,32,29,3,1,6,2,55,3,14
763,38,32,3,1,0,1,60,3,13
764,23,21,3,0,20,1,0,4,9
765,25,25,6,1,8.619314,0,34.026761,3,9
767,35,36,4,0,0,1,54,3,13
768,38,32,3,9,0,0,0,10,13
771,30.699966,29,2,2.788198,0,0,50,5,13
772,30,36,4,2,0,1,34.026761,3,10
773,27,30,4,0,5,3,60,3,13
775,37,45,5,0,0,1,50,10,14
776,23,33.721865,5,24,0,2.823703,0,6,14
777,38,40,3,0,0,0,0,5,11
778,23,29,3,2,0,2,50,4,9
779,24,28,3,3,0,5,40,6,13
780,37,43,3,2.788198,20,3,40,4,14
781,32,33,4,3,40,3,60,4,14
782,25,31,3,5,40,3,40,6,12
783,29,27,3,4,0,0,43,4,12
784,26,33.721865,4,1,0,2.823703,0,3,9
785,28,37,2,0,0,0,34.026761,4,11
786,26,33.721865,3,1,0,2.823703,0,3,6
787,35,37,3,2,40,5,34.026761,3,13
789,28,33.721865,3,1,0,2.823703,0,4,7
790,22,32,4,5,30,5,80,3,12
791,32,35,4,1,0,1,45,3,14
793,33,36,2,2.788198,0,0,40,3,12
796,32,22,2,0,4,0,40,4,10
798,34,29,3,3,11,3,35,3,13
799,35,37,3,3,0,4,40,5,9
800,31,35,4,1,0,0,40,4,13
802,35,29,4,0,15,0,40,4,14
803,41,43,4,2,0,2,50,7,13
804,31,35,3,1,0,1,34.026761,3,13
805,34,29,3,3,50,3,52,3,13
806,29,25,4,1,8.619314,1,50,4,11
807,34,38,3,2,26,0,38,4,14
808,42,47,5,17,25,21,44,6,11
809,28,31,4,2,0,3,55,4,12
810,28,26,3.247138,0,40,1,34.026761,3,9
811,31,32,6,2,30,3,40,4,14
812,23,31,3,1,0,5,84,4,11
813,32,37,2,3,45,3,45,4,13
814,27,33.721865,3.247138,0,0,2.823703,0,4,7
815,38,33.721865,4,2.788198,0,2.823703,0,2,4
816,34,36,3,0,0,0,45,4,13
817,28,34,3,0,0,0,50,4,11
818,35,38,4,1,0,1,38,4,12
820,34,33,3,1,0,3,40,5,12
822,19,33.721865,3,0,0,2.823703,0,4,4
