@relation cenus_4000-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.Remove-R45_predicted

@attribute random_ID numeric
@attribute NZDep2006 numeric
@attribute ch_asian numeric
@attribute ch_euro numeric
@attribute ch_maori numeric
@attribute ch_melaa numeric
@attribute ch_other numeric
@attribute ch_pacific numeric
@attribute m_age numeric
@attribute m_asian numeric
@attribute m_euro numeric
@attribute m_maori numeric
@attribute m_melaa numeric
@attribute m_other numeric
@attribute m_pacific numeric
@attribute m_wklfs_code numeric
@attribute d_age numeric
@attribute d_asian numeric
@attribute d_euro numeric
@attribute d_maori numeric
@attribute d_melaa numeric
@attribute d_other numeric
@attribute d_pacific numeric
@attribute d_wklfs_code numeric
@attribute bedroom_count_code numeric
@attribute m_years_at_addr_code numeric
@attribute m_tenure_holder_code numeric
@attribute m_education numeric
@attribute m_work_hours numeric
@attribute m_smoke numeric
@attribute m_income_srce7 numeric
@attribute m_income_srce8 numeric
@attribute m_income_srce9 numeric
@attribute m_income_srce10 numeric
@attribute m_income_srce11 numeric
@attribute m_income_srce12 numeric
@attribute d_years_at_addr_code numeric
@attribute d_tenure_holder_code numeric
@attribute d_education numeric
@attribute d_work_hours numeric
@attribute d_smoke numeric
@attribute d_income_srce7 numeric
@attribute d_income_srce8 numeric
@attribute d_income_srce9 numeric
@attribute d_income_srce12 numeric
@attribute ch_sex numeric
@attribute child_depend_family_type_code numeric
@attribute d_family_role_code numeric
@attribute heat_fuel numeric
@attribute m_family_role_code numeric
@attribute telecomm1_code numeric
@attribute telecomm2_code numeric
@attribute telecomm4_code numeric
@attribute usual_resdnt_count_code numeric
@attribute twin numeric
@attribute singparstat numeric
@attribute 'prediction margin' numeric
@attribute 'predicted total_income_hhld_code' {1,2,3,4,5,6,7,8,9,10,11,12,13,14}
@attribute total_income_hhld_code {1,2,3,4,5,6,7,8,9,10,11,12,13,14}

@data
3978,4,0,0,0,0,1,0,27,0,0,0,0,1,0,1,35,0,0,0,0,1,0,3,3,2,2,10,40,3,0,0,0,0,0,0,13,2,3,?,3,0,0,0,0,1,21,1,1,1,1,2,4,6,2,1,-0.247068,12,?
3980,3,0,1,0,0,0,0,35,1,1,0,0,?,?,4,39,0,1,0,0,0,0,1,3,0,2,?,0,?,0,0,0,0,0,0,0,2,8,40,3,0,0,0,0,1,21,1,1,1,1,2,99,4,1,1,-0.275771,12,?
3981,2,0,1,0,0,0,0,32,0,1,0,0,0,0,4,35,0,1,0,0,0,0,1,3,4,1,9,0,3,0,0,0,0,0,0,4,1,12,45,3,0,0,0,0,1,21,1,1,1,1,2,4,4,1,1,-0.522,14,?
3982,7,0,1,1,0,0,1,31,0,1,1,0,0,0,4,26,0,0,0,0,0,1,1,3,4,2,3,0,2,0,0,0,0,0,0,0,2,11,45,3,0,0,0,0,2,21,1,1,1,99,2,4,4,1,1,-0.272,13,?
3983,4,0,1,1,0,0,0,28,0,1,1,0,0,0,4,25,0,1,1,0,0,0,1,4,0,2,2,0,2,0,0,0,0,0,0,0,2,8,44,2,0,0,0,0,1,21,1,1,1,1,2,4,3,1,1,-0.368,12,?
3984,3,0,1,0,0,0,0,30,0,1,0,0,0,0,4,37,0,1,0,0,0,0,1,3,0,1,2,0,3,0,0,0,0,0,0,0,1,8,40,3,0,0,0,0,2,21,1,1,1,99,2,4,3,1,1,-0.314,12,?
3985,3,0,1,0,0,0,0,39,0,1,0,0,0,0,2,46,0,1,0,0,0,0,1,5,5,1,11,30,3,0,0,0,0,0,0,1,1,9,45,3,0,0,0,0,1,21,1,1,1,1,2,4,3,1,1,-0.572,14,?
3986,8,0,1,1,0,0,0,24,0,1,1,0,0,0,4,?,?,?,?,?,?,?,?,3,1,2,3,0,1,0,0,0,0,0,0,?,?,?,0,?,0,0,0,0,1,31,?,1,1,1,99,99,2,1,2,-0.211471,7,?
3987,6,0,1,1,0,0,0,24,0,1,0,0,0,0,4,22,0,1,1,0,0,0,1,3,0,2,11,0,3,0,0,0,0,0,0,2,2,0,40,3,0,0,0,0,1,21,1,1,1,1,2,99,4,1,1,-0.268,12,?
3988,6,0,1,1,0,0,0,21,0,1,0,0,0,0,2,23,0,?,1,0,0,0,1,3,0,2,?,0,1,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,1,21,1,1,1,99,2,99,3,1,1,-0.181436,11,?
3989,3,0,0,0,0,0,1,29,0,0,0,0,0,1,1,40,0,0,0,0,0,1,1,4,1,1,3,45,3,0,0,0,0,0,0,0,1,8,50,3,0,0,0,0,1,21,1,1,1,1,2,4,3,1,1,-0.338,14,?
3990,10,0,1,1,0,0,0,32,0,1,1,0,0,0,3,?,?,?,?,?,?,?,?,3,0,2,7,0,1,0,0,0,0,0,0,?,?,?,0,?,0,0,0,0,2,31,?,?,1,1,2,99,3,1,2,-0.192302,7,?
3991,2,0,1,0,0,0,0,37,0,1,0,0,0,0,4,32,0,1,0,0,0,0,1,2,3,1,13,0,3,0,0,0,0,0,1,2,1,8,45,3,0,0,0,1,1,21,1,1,1,1,2,4,5,1,1,-0.466,14,?
3992,3,0,1,0,0,0,0,36,0,1,0,0,0,0,2,39,0,1,0,0,0,0,1,3,8,1,11,12,3,0,0,0,0,0,0,9,1,11,40,3,0,0,0,0,2,21,1,1,1,1,2,4,4,1,1,-0.62,14,?
3995,10,0,0,0,0,0,1,17,0,0,0,0,0,1,2,34,0,0,0,0,0,1,1,3,2,2,0,0,3,0,1,1,0,0,0,0,2,1,40,3,0,1,1,0,1,21,1,1,1,99,2,99,9,2,1,-0.23,14,?
3997,7,0,0,0,0,0,0,29,?,?,?,?,?,?,?,31,0,1,0,0,0,0,1,2,0,2,?,0,?,0,0,0,0,0,0,0,1,2,59,2,0,0,0,0,1,21,1,1,1,1,99,4,4,1,1,-0.273616,12,?
3998,2,0,1,0,0,0,0,26,0,1,0,0,0,0,4,28,0,1,0,0,0,0,1,2,0,2,2,0,3,0,0,0,0,0,0,0,2,4,50,1,0,0,0,0,1,21,1,1,1,1,2,4,3,1,1,-0.428,12,?
3999,4,0,1,0,0,0,0,29,0,1,0,0,0,0,1,32,0,1,0,0,0,0,1,3,3,1,11,30,3,0,0,0,0,0,0,2,1,10,50,3,0,0,0,0,2,21,1,1,1,1,2,4,4,1,1,-0.406,14,?
4000,4,0,0,0,1,0,0,30,0,0,0,1,1,0,4,43,0,0,0,1,1,0,1,2,?,?,4,0,3,0,0,0,0,0,0,0,1,4,40,2,0,0,0,0,1,21,1,1,1,99,2,99,4,1,1,-0.233056,12,?
4002,1,1,0,0,0,0,0,22,1,0,0,0,0,0,4,29,1,0,0,0,0,0,2,4,?,2,0,0,3,0,0,0,0,0,0,5,1,0,40,3,0,0,0,0,2,21,1,0,1,1,2,99,5,1,1,-0.204279,13,?
4004,9,0,1,1,0,0,0,18,0,1,1,0,0,0,4,?,?,?,?,?,?,?,?,2,0,2,7,0,2,0,0,0,0,0,0,?,?,?,0,?,0,0,0,0,2,31,?,1,1,1,99,99,3,1,2,-0.186028,7,?
4005,4,0,1,0,0,0,0,33,0,1,0,0,0,0,4,35,0,1,0,0,0,0,1,3,0,2,11,0,3,0,0,0,0,0,0,0,2,11,43,3,0,0,0,0,1,21,1,1,1,1,2,4,4,1,1,-0.51,14,?
4006,4,0,0,0,0,1,0,34,0,1,0,0,0,0,2,37,0,0,0,0,1,0,1,3,6,2,0,22,3,0,0,0,0,0,0,2,1,1,60,3,0,0,0,0,1,21,1,1,1,1,2,99,4,1,1,-0.246,13,?
4007,10,0,0,1,0,0,0,26,0,0,1,0,0,0,4,24,0,1,1,0,0,0,1,3,0,2,6,0,1,0,0,1,0,0,0,0,2,10,58,3,0,0,1,0,1,21,1,1,1,99,99,99,7,1,1,-0.216,12,?
4008,4,0,1,0,0,0,0,29,0,1,0,0,0,0,2,40,0,1,0,0,0,0,1,3,5,2,4,35,2,0,0,0,0,0,0,6,2,1,45,3,0,0,0,0,1,21,1,1,1,1,2,4,4,1,1,-0.356,12,?
4009,1,0,1,0,0,0,0,33,0,1,0,0,0,0,2,41,0,1,0,0,0,0,1,4,5,1,9,25,?,0,0,0,0,0,0,7,1,4,40,2,0,0,0,0,2,21,1,1,1,1,2,4,4,1,1,-0.420356,14,?
4012,9,0,1,1,0,0,0,15,0,1,1,0,0,0,3,?,?,?,?,?,?,?,?,3,2,2,0,0,3,0,0,1,0,0,0,?,?,?,0,?,0,0,0,0,1,31,?,1,1,1,2,4,4,1,2,-0.202116,14,?
4013,2,0,0,0,0,1,0,31,0,1,0,0,0,0,1,38,0,1,0,0,1,0,1,3,4,1,11,40,3,0,0,0,0,0,0,2,1,11,40,3,0,0,0,0,2,21,1,1,1,1,2,4,4,1,1,-0.566,14,?
4014,6,0,1,1,0,0,0,18,0,1,0,0,0,0,4,17,?,1,1,0,0,0,1,4,0,2,1,0,2,0,1,0,0,0,0,5,?,?,60,2,0,1,0,0,1,21,1,1,1,1,2,4,4,1,1,-0.21291,12,?
4016,2,0,1,0,0,0,0,38,0,1,0,0,0,0,2,39,0,1,0,0,0,0,1,4,7,1,9,16,2,0,0,0,0,0,0,7,1,11,48,3,0,0,0,0,1,21,1,1,1,1,2,4,4,1,1,-0.646,14,?
4017,7,0,1,0,0,0,0,23,0,1,0,0,0,0,2,30,0,1,0,0,0,0,1,3,1,1,9,20,1,0,0,0,0,0,0,2,1,?,40,3,0,0,0,0,2,21,1,1,1,1,2,99,3,1,1,-0.368607,12,?
4019,5,0,1,0,0,0,0,27,1,1,0,0,0,0,4,32,0,1,0,0,0,0,1,3,0,2,2,0,3,0,0,0,0,0,0,6,2,2,50,3,0,0,0,0,1,21,1,1,1,1,2,4,3,1,1,-0.35,12,?
4020,9,1,0,0,0,0,0,27,1,0,0,0,0,0,4,29,1,0,0,0,0,0,1,3,9,2,3,0,1,0,0,0,0,0,0,0,2,4,50,1,0,0,0,0,2,21,1,1,1,1,2,4,3,1,1,-0.226,12,?
4021,2,0,1,1,0,0,0,29,0,1,1,0,0,0,2,35,0,1,0,0,0,0,1,3,2,1,12,0,2,0,0,0,0,0,0,2,1,8,40,1,0,0,0,0,1,21,1,1,1,1,2,4,3,1,1,-0.418,13,?
4022,4,1,0,0,0,0,0,30,1,0,0,0,0,0,4,27,1,0,0,0,0,0,1,3,4,1,3,0,?,0,0,0,0,0,0,3,1,2,40,3,0,0,0,0,1,21,1,1,1,1,2,4,4,1,1,-0.321095,13,?
4023,7,0,1,0,0,0,0,34,0,1,0,0,0,0,4,32,0,1,0,0,0,0,1,2,1,1,3,0,3,0,0,0,0,0,0,1,1,11,45,3,0,0,0,0,2,21,1,1,1,1,2,4,4,1,1,-0.3,13,?
4024,1,0,1,0,0,0,0,36,0,1,0,0,0,0,1,38,0,1,0,0,0,0,1,4,3,1,6,37,2,0,0,0,0,0,0,4,1,10,55,3,0,0,0,0,2,21,1,1,1,1,2,4,5,1,1,-0.598,14,?
4025,8,0,1,0,0,1,0,36,0,1,0,0,1,0,4,38,0,0,0,0,1,0,1,4,2,1,10,0,3,0,0,0,0,0,0,3,1,9,50,3,0,0,0,0,1,21,1,1,1,1,2,4,4,1,1,-0.332,14,?
4026,4,0,1,1,0,0,0,26,0,1,0,0,0,0,4,?,?,?,?,?,?,?,?,3,1,2,11,0,2,0,0,0,0,0,0,?,?,?,0,?,0,0,0,0,2,31,?,1,1,1,2,4,4,1,2,-0.134582,12,?
4027,1,0,1,0,0,0,0,38,0,1,0,0,0,0,4,38,0,1,0,0,0,0,1,3,1,1,11,0,3,0,0,0,0,0,0,1,1,10,?,3,0,0,0,0,1,21,1,1,1,1,2,4,5,1,1,-0.588618,14,?
4028,6,1,0,0,0,0,0,29,1,0,0,0,0,0,1,32,1,0,0,0,0,0,1,4,0,1,4,0,3,0,0,0,0,0,0,5,1,?,40,3,0,0,0,0,1,21,1,0,1,99,2,99,5,1,1,-0.277874,12,?
4029,4,0,1,0,0,0,0,31,0,1,0,0,0,0,4,?,?,?,?,?,?,?,?,5,1,2,0,0,3,0,0,0,0,0,0,?,?,?,0,?,0,0,0,0,1,31,?,1,1,1,2,99,4,1,2,-0.146494,5,?
4030,3,1,0,0,0,0,0,27,1,0,0,0,0,0,1,34,1,0,0,0,0,0,1,4,2,2,6,40,3,1,0,0,0,0,0,2,1,10,60,3,1,0,0,0,1,21,1,1,1,1,2,4,7,1,1,-0.41,14,?
4032,10,0,0,1,0,0,1,31,0,0,0,0,0,1,4,22,0,0,1,0,0,0,3,5,0,2,10,0,2,0,0,0,0,0,0,1,2,3,0,3,0,0,0,0,1,21,1,1,1,99,2,4,7,1,1,-0.172,12,?
4034,5,0,1,0,0,0,0,40,0,1,0,0,0,0,1,42,0,1,0,0,0,0,4,3,0,1,13,40,?,0,0,0,0,0,0,0,1,11,0,3,0,0,0,0,1,21,1,1,1,1,2,4,3,1,1,-0.357256,14,?
4035,2,0,1,0,0,0,0,31,0,1,0,0,0,0,1,36,0,1,0,0,0,0,1,3,1,1,11,50,3,0,0,0,0,0,0,5,1,0,38,2,0,0,0,0,1,21,1,1,1,1,2,4,3,1,1,-0.408,13,?
4036,8,0,1,0,0,0,0,28,0,1,0,0,0,0,4,30,0,1,0,0,0,0,1,3,0,2,1,0,2,0,0,0,0,0,0,0,2,2,45,1,0,0,0,0,1,21,1,1,1,1,2,99,4,1,1,-0.574,12,?
4037,6,0,1,0,0,0,0,32,0,1,0,0,0,0,4,?,?,?,?,?,?,?,?,4,0,1,3,0,3,0,0,0,0,0,0,?,?,?,0,?,0,0,0,0,2,31,?,1,1,1,2,4,5,1,2,-0.134838,5,?
4038,5,0,1,0,0,0,0,37,0,1,?,?,0,?,4,?,?,?,?,?,?,?,?,3,8,?,8,0,1,0,0,0,0,0,0,?,?,?,0,?,0,0,0,0,1,31,?,1,1,1,99,99,2,1,2,-0.171169,7,?
4040,6,0,0,0,0,1,0,34,0,1,0,0,1,0,4,34,0,0,0,0,1,0,1,3,6,1,7,0,2,0,0,0,0,0,0,6,1,1,40,1,0,0,0,0,1,21,1,1,1,1,2,99,4,1,1,-0.284,12,?
4041,2,0,0,0,0,1,0,26,0,0,0,0,1,0,4,31,0,0,0,0,1,0,1,4,2,2,7,10,3,0,0,0,0,0,0,4,2,2,60,3,0,0,0,0,2,21,1,1,1,1,2,4,4,1,1,-0.284,14,?
4042,3,0,1,1,0,0,0,33,0,1,1,0,0,0,4,36,0,0,0,0,1,0,1,3,2,1,1,0,3,0,0,0,0,0,0,3,1,13,?,3,0,0,0,0,2,21,1,1,1,1,2,4,3,1,1,-0.325345,14,?
4043,4,0,1,0,0,0,0,30,0,1,0,0,0,0,4,29,0,1,0,0,0,0,1,3,4,1,12,0,3,0,0,0,0,0,0,4,1,12,40,3,0,0,0,0,2,21,1,1,1,1,2,99,3,1,1,-0.38,13,?
4044,4,0,1,0,0,0,0,24,0,1,0,0,0,0,4,26,0,1,0,0,0,0,1,2,0,2,2,0,3,0,0,0,0,0,0,0,2,2,40,2,0,0,0,0,2,21,1,1,1,1,2,4,3,1,1,-0.638,12,?
4045,10,0,1,0,0,0,0,20,0,1,0,0,0,0,3,?,?,?,?,?,?,?,?,2,2,2,1,?,1,0,0,0,0,0,0,?,?,?,0,?,0,0,0,0,2,31,?,1,1,1,2,99,3,1,2,-0.198505,7,?
4046,8,0,1,0,0,0,0,31,0,1,0,0,0,0,2,32,0,0,0,0,1,0,1,3,2,2,0,15,1,0,0,0,0,0,0,5,2,0,40,1,0,0,0,0,2,21,1,1,1,1,2,99,5,1,1,-0.296,12,?
4048,8,0,1,0,0,0,0,28,0,1,0,0,0,0,2,?,?,?,?,?,?,?,?,4,2,2,1,9,3,0,0,1,1,0,1,?,?,?,0,?,0,0,0,0,2,31,?,1,1,1,2,4,5,1,2,-0.20338,12,?
4049,6,0,1,0,0,0,0,28,0,1,0,0,0,0,1,32,0,1,0,0,0,0,1,3,1,1,9,10,3,0,0,0,0,0,0,3,1,8,40,3,0,0,0,0,2,21,1,1,1,99,2,4,3,1,1,-0.344,12,?
4051,4,0,1,0,0,0,0,36,0,1,0,0,0,0,4,36,0,1,0,0,0,0,1,4,0,2,0,0,1,0,0,0,0,0,0,0,2,3,48,3,0,0,0,0,1,21,1,1,1,1,2,4,4,1,1,-0.404,12,?
4052,10,0,0,0,0,0,0,25,0,0,0,0,0,1,1,?,?,?,?,?,?,?,?,5,7,2,?,48,1,0,0,0,0,0,0,?,?,?,0,?,0,0,0,0,1,31,?,1,1,1,2,99,10,1,2,-0.226014,13,?
4053,3,0,1,0,0,0,0,38,0,1,0,0,0,0,4,33,0,1,0,0,0,0,1,3,1,1,3,0,3,0,0,0,0,0,0,0,1,8,45,3,0,0,0,0,1,21,1,1,1,1,2,99,3,1,1,-0.324,12,?
4054,10,0,0,1,0,0,0,22,0,0,1,0,0,0,2,30,0,0,1,0,0,0,1,2,0,2,0,11,3,0,0,0,0,0,0,0,2,1,56,1,0,0,0,0,2,21,1,1,1,1,2,99,3,1,1,-0.218,12,?
4055,6,0,0,0,0,0,1,43,0,0,0,0,0,1,1,41,0,0,0,0,0,1,1,4,10,1,?,39,3,0,0,0,0,0,0,17,1,10,25,3,0,0,0,0,2,21,1,1,1,1,2,99,8,1,1,-0.293884,14,?
4056,10,0,0,1,0,0,0,26,0,1,1,0,0,0,1,25,0,1,0,0,0,0,1,3,0,2,8,0,1,0,0,0,0,0,0,2,2,0,48,1,0,0,0,0,1,21,1,1,1,1,99,99,5,1,1,-0.296,12,?
4057,9,1,0,0,0,0,0,28,1,0,0,0,0,0,4,?,?,?,?,?,?,?,?,3,0,?,?,0,?,0,0,0,0,0,0,?,?,?,0,?,0,0,0,0,1,31,?,0,1,99,2,4,2,1,2,-0.140544,5,?
4058,8,0,0,1,0,0,0,22,0,1,0,0,0,0,2,36,0,0,1,0,0,0,1,3,0,2,0,34,3,0,0,0,0,0,0,1,2,2,50,3,0,0,0,0,2,21,1,1,1,1,2,4,3,1,1,-0.266,12,?
4059,6,0,1,0,0,0,0,29,0,1,0,0,0,0,4,35,0,1,0,0,0,0,1,3,0,1,10,0,3,0,0,0,0,0,0,3,1,8,40,1,0,0,0,0,2,21,1,1,1,1,2,99,4,1,1,-0.416,13,?
4060,9,0,1,1,0,0,0,32,0,1,1,0,0,0,4,31,0,1,0,0,0,0,1,4,0,1,0,0,2,0,0,0,0,0,0,2,1,1,42,?,0,0,0,0,2,21,1,1,1,1,2,4,4,1,1,-0.319183,12,?
4061,10,0,0,0,0,0,1,33,0,0,0,0,0,1,1,?,?,?,?,?,?,?,?,3,25,2,11,40,1,0,0,1,1,0,0,?,?,?,0,?,0,0,0,0,1,31,?,1,1,1,2,4,6,1,2,-0.214468,13,?
4062,7,0,0,0,0,0,1,24,0,0,0,0,0,1,1,?,?,?,?,?,?,?,?,2,0,2,4,?,2,0,0,0,0,0,0,?,?,?,0,?,0,0,0,0,1,31,?,1,1,1,2,99,2,1,2,-0.14797,7,?
4063,3,0,0,0,0,1,0,29,0,1,0,0,0,0,4,29,0,0,0,0,1,0,1,3,1,2,9,0,3,0,0,0,0,0,0,1,2,11,40,3,0,0,0,0,1,21,1,1,1,1,2,4,3,1,1,-0.376,13,?
4064,2,0,1,1,0,0,0,37,0,1,1,0,0,0,4,33,0,1,1,0,0,0,1,2,2,2,2,30,2,0,0,0,0,0,0,0,2,8,50,2,0,0,0,0,1,21,1,1,1,1,2,4,4,1,1,-0.356,12,?
4065,7,0,1,0,0,0,0,33,0,1,0,0,0,0,4,37,0,1,0,0,0,0,1,3,10,1,1,0,?,0,0,0,0,0,0,10,?,8,42,?,0,0,0,0,2,21,1,1,1,1,2,4,4,1,1,-0.313579,14,?
4066,8,0,0,0,0,1,0,28,0,0,0,0,1,0,4,35,0,1,0,0,0,0,1,3,5,1,11,20,3,0,0,0,0,0,0,5,1,10,40,3,0,0,0,0,1,21,1,1,1,1,2,99,3,1,1,-0.372,13,?
4067,1,0,0,0,0,1,0,25,0,0,0,0,1,0,4,32,0,0,0,0,1,0,1,2,0,2,11,0,3,0,0,0,0,0,0,0,2,3,40,3,0,0,0,0,1,21,1,1,1,1,2,4,4,1,1,-0.28,13,?
4068,5,0,1,0,0,0,0,29,0,1,0,0,0,0,4,37,0,1,0,0,0,0,1,2,0,1,12,?,3,0,0,0,0,0,0,0,1,11,40,3,0,0,0,0,2,21,1,1,1,99,2,99,4,1,1,-0.380137,12,?
4069,10,0,0,1,0,0,0,35,0,0,1,0,0,0,1,32,0,0,1,0,0,0,1,4,?,1,0,40,1,0,0,0,0,0,0,?,2,0,40,2,0,0,0,0,2,21,1,?,1,99,99,99,8,1,1,-0.247551,13,?
